X,Y
-88.0381,49.0228
-86.7287,49.8475
-88.0725,50.2296
-88.5994,53.4975
-87.9607,50.2486
-87.8622,50.2314
-88.0826,50.2412
-87.9867,51.4984
-86.1644,48.6844
-86.9649,50.2346
-86.9606,50.3551
-87.7713,48.9278
-88.544,51.7891
-87.2738,50.7936
-86.6429,50.1621
-85.7963,49.8686
-86.307,50.1606
-86.505,49.5509
-85.8947,51.6322
-86.6059,49.5593
-86.4657,50.1155
-85.259,49.7178
-86.9653,49.7309
-86.3577,49.5043
-86.3438,49.5132
-88.4047,49.1197
-88.4869,49.1187
-86.7127,50.1983
-86.7208,48.8041
-88.4336,49.1733
-87.8838,49.8805
-87.4829,50.1526
-86.7044,48.813
-87.9816,49.8977
-87.9257,49.8891
-87.9936,49.8076
-88.6215,53.5233
-87.717,49.8996
-89.0059,49.0748
-87.2657,48.8347
-86.2877,48.6133
-86.4654,49.7657
-88.0381,49.0228
-87.6334,49.8911
-87.1413,52.9499
-87.8029,49.1974
-87.9439,49.3943
-87.5101,49.2872
-86.6644,49.0828
-87.9358,50.3396
-88.1803,51.1819
-88.323,49.0388
-88.0791,51.1379
-87.6827,50.4214
-86.4994,49.5634
-86.8206,49.8207
-87.7046,50.9519
-87.6334,53.0113
-88.6485,53.4025
-87.8583,51.5624
-87.8581,51.5534
-87.3641,52.8865
-87.6939,49.2521
-87.6812,50.3225
-87.7727,51.6169
-88.3629,52.0341
-87.4172,49.033
-87.3214,53.1474
-87.6576,49.2109
-87.0252,50.2957
-86.8693,49.2991
-87.5384,52.5622
-87.0331,49.5771
-87.781,51.598
-87.1832,49.3782
-88.8557,52.3151
-87.4334,49.3163
-87.88,50.4381
-80.1039,45.8944
-78.9444,46.442
-80.4972,47.0362
-79.6158,46.3522
-79.7346,47.1689
-78.5178,46.2895
-80.0332,46.9271
-80.0281,46.9882
-79.8208,46.7874
-80.0962,47.0077
-80.2415,46.2195
-79.9103,45.918
-79.6108,46.1379
-79.8126,46.0871
-79.7607,46.8965
-79.8525,45.8463
-79.9312,45.9722
-79.9938,45.9341
-78.9136,46.2921
-79.7599,46.0146
-79.1168,46.7267
-79.1848,46.3768
-79.014,46.2803
-80.5073,45.7835
-80.2398,45.3914
-79.9886,45.1554
-79.6727,45.0622
-80.5706,45.9134
-80.1714,45.6969
-80.4606,45.5556
-80.4988,46.0067
-79.9147,44.9558
-79.8077,45.1033
-79.8419,44.8569
-80.5164,45.7727
-80.5416,45.9871
-79.7026,45.031
-80.7056,45.975
-79.2325,45.1669
-79.347,44.9049
-80.0689,45.7528
-80.2783,45.3826
-80.5151,45.7727
-80.413,45.5679
-80.4009,45.6219
-79.153,45.0279
-80.1498,45.4358
-79.1846,45.9475
-80.5747,45.8765
-77.8492,46.182
-78.0439,46.2162
-78.078,46.1846
-76.9819,45.1895
-76.9778,44.5891
-94.2922,52.1069
-93.9793,51.8222
-93.4239,51.2356
-94.0977,51.3176
-92.2135,51.4109
-95.0777,51.4122
-94.1653,51.1551
-94.4071,50.6398
-93.9369,51.8765
-93.6628,51.0151
-94.0661,50.5715
-94.322,51.1354
-94.1457,52.6568
-94.529,51.2138
-93.9369,51.8765
-92.8481,52.5445
-93.9365,51.8585
-95.0045,51.7102
-94.533,51.8486
-94.0414,52.6218
-94.0414,52.6218
-94.0416,52.6308
-93.9799,51.8491
-93.9797,51.8401
-93.9791,51.8132
-93.9646,51.8133
-93.9934,51.8041
-94.2922,52.1069
-94.0414,52.6218
-93.0221,52.5095
-93.0221,52.5095
-92.327,51.0222
-93.911,51.3102
-93.8052,51.0052
-92.7838,53.0128
-93.7719,50.7177
-93.0515,52.5095
-94.1125,52.5133
-94.0861,52.6394
-92.0058,50.841
-93.1404,51.2759
-93.1088,51.8442
-93.3668,51.439
-93.7262,51.4194
-93.7255,51.3744
-93.4297,51.3957
-94.3329,51.0184
-93.2489,50.9178
-92.9928,51.1339
-93.7466,50.9067
-94.3794,51.1437
-92.1197,51.2025
-94.2764,51.037
-92.1111,51.2024
-92.6627,51.5227
-92.2638,51.1406
-93.3507,53.0754
-93.3399,50.7098
-92.445,51.5282
-93.4251,51.5198
-93.9789,51.8042
-93.5826,51.4382
-93.2505,51.2235
-93.2316,53.1386
-94.1669,50.6514
-92.3619,51.285
-93.6263,52.2085
-93.5429,50.5121
-94.2904,51.0278
-92.4291,51.645
-93.9934,51.8041
-94.4698,50.8369
