longitude,latitude,Province,City / Town
-88.0381,49.0228,Ontario,Greenstone
-86.7287,49.8475,Ontario,Greenstone
-88.0725,50.2296,Ontario,Greenstone
-88.5994,53.4975,Ontario,Greenstone
-87.9607,50.2486,Ontario,Greenstone
-87.8622,50.2314,Ontario,Greenstone
-88.0826,50.2412,Ontario,Greenstone
-87.9867,51.4984,Ontario,Greenstone
-86.1644,48.6844,Ontario,Marathon
-86.9649,50.2346,Ontario,Greenstone
-86.9606,50.3551,Ontario,Greenstone
-87.7713,48.9278,Ontario,Greenstone
-88.544,51.7891,Ontario,Greenstone
-87.2738,50.7936,Ontario,Greenstone
-86.6429,50.1621,Ontario,Greenstone
-85.7963,49.8686,Ontario,Hornepayne
-86.307,50.1606,Ontario,Greenstone
-86.505,49.5509,Ontario,Greenstone
-85.8947,51.6322,Ontario,Greenstone
-86.6059,49.5593,Ontario,Greenstone
-86.4657,50.1155,Ontario,Greenstone
-85.259,49.7178,Ontario,Hornepayne
-86.9653,49.7309,Ontario,Greenstone
-86.3577,49.5043,Ontario,Marathon
-86.3438,49.5132,Ontario,Marathon
-88.4047,49.1197,Ontario,Thunder Bay
-88.4869,49.1187,Ontario,Thunder Bay
-86.7127,50.1983,Ontario,Greenstone
-86.7208,48.8041,Ontario,Marathon
-88.4336,49.1733,Ontario,Thunder Bay
-87.8838,49.8805,Ontario,Greenstone
-87.4829,50.1526,Ontario,Greenstone
-86.7044,48.813,Ontario,Marathon
-87.9816,49.8977,Ontario,Greenstone
-87.9257,49.8891,Ontario,Greenstone
-87.9936,49.8076,Ontario,Greenstone
-88.6215,53.5233,Ontario,Greenstone
-87.717,49.8996,Ontario,Greenstone
-89.0059,49.0748,Ontario,Thunder Bay
-87.2657,48.8347,Ontario,Marathon
-86.2877,48.6133,Ontario,Marathon
-86.4654,49.7657,Ontario,Greenstone
-88.0381,49.0228,Ontario,Greenstone
-87.6334,49.8911,Ontario,Greenstone
-87.1413,52.9499,Ontario,Greenstone
-87.8029,49.1974,Ontario,Greenstone
-87.9439,49.3943,Ontario,Greenstone
-87.5101,49.2872,Ontario,Greenstone
-86.6644,49.0828,Ontario,Marathon
-87.9358,50.3396,Ontario,Greenstone
-88.1803,51.1819,Ontario,Greenstone
-88.323,49.0388,Ontario,Thunder Bay
-88.0791,51.1379,Ontario,Greenstone
-87.6827,50.4214,Ontario,Greenstone
-86.4994,49.5634,Ontario,Greenstone
-86.8206,49.8207,Ontario,Greenstone
-87.7046,50.9519,Ontario,Greenstone
-87.6334,53.0113,Ontario,Greenstone
-88.6485,53.4025,Ontario,Greenstone
-87.8583,51.5624,Ontario,Greenstone
-87.8581,51.5534,Ontario,Greenstone
